group_id,player_a,player_b,odds_a,odds_b
bovada-tmatch:27591532,Aldrich Potgieter,Blades Brown,1.87,1.87
bovada-tmatch:27591533,Ben Griffin,Chris Gotterup,1.833,1.909
bovada-tmatch:27592331,Doug Ghim,Michael Thorbjornsen,2.0,1.769
bovada-tmatch:27592332,Denny McCarthy,Sudarshan Yellamaraju,1.8,1.952
bovada-tmatch:27591535,Davis Thompson,Sungjae Im,1.909,1.833
bovada-tmatch:27591731,Eric Cole,Jacob Bridgeman,1.87,1.87
bovada-tmatch:27592131,Jordan Spieth,Pierceson Coody,1.8,1.952
bovada-tmatch:27591536,J.T. Poston,Jackson Koivun,1.952,1.8
bovada-tmatch:27591932,Keegan Bradley,Keith Mitchell,1.909,1.833
bovada-tmatch:27591531,Michael Brennan,Rickie Fowler,1.952,1.8
bovada-tmatch:27591534,Max Greyserman,Ryo Hisatsune,1.952,1.8
bovada-tmatch:27591931,Matt Wallace,Tom Kim,2.0,1.769
