group_id,player_a,player_b,player_c,odds_a,odds_b,odds_c,settlement_rule
bovada-2ball-r2:27366931,Alex Noren,Alex Smalley,,1.833333,2.0,,dead_heat
bovada-2ball-r2:27366932,Jason Day,Rickie Fowler,,1.952381,1.87,,dead_heat
bovada-2ball-r2:27367331,Michael Kim,Sam Stevens,,2.05,1.8,,dead_heat
bovada-2ball-r2:27367531,Daniel Berger,Kurt Kitayama,,2.15,1.714286,,dead_heat
bovada-2ball-r2:27367532,Brian Campbell,Taylor Pendrith,,2.4,1.588235,,dead_heat
bovada-2ball-r2:27367533,Keith Mitchell,Ryo Hisatsune,,1.8,2.05,,dead_heat
bovada-2ball-r2:27367332,Adam Scott,Akshay Bhatia,,2.05,1.8,,dead_heat
bovada-2ball-r2:27367534,Chris Gotterup,J J Spaun,,2.0,1.833333,,dead_heat
bovada-2ball-r2:27367333,Jacob Bridgeman,Sungjae Im,,1.87,1.952381,,dead_heat
bovada-2ball-r2:27367535,Andrew Novak,J.T. Poston,,2.05,1.8,,dead_heat
bovada-2ball-r2:27367536,Sepp Straka,Harris English,,2.15,1.741,,dead_heat
bovada-2ball-r2:27367537,Bud Cauley,Viktor Hovland,,2.0,1.833333,,dead_heat
bovada-2ball-r2:27367538,Corey Conners,Justin Rose,,2.0,1.833333,,dead_heat
bovada-2ball-r2:27367931,Jordan Spieth,Keegan Bradley,,2.0,1.833333,,dead_heat
bovada-2ball-r2:27367932,Sam Burns,Scottie Scheffler,,2.6,1.526316,,dead_heat
bovada-2ball-r2:27367933,Tommy Fleetwood,Wyndham Clark,,1.76923,2.1,,dead_heat
bovada-2ball-r2:27367934,Mac Meissner,Sahith Theegala,,1.952381,1.87,,dead_heat
bovada-2ball-r2:27368131,Denny McCarthy,Si Woo Kim,,2.45,1.571429,,dead_heat
bovada-2ball-r2:27367935,Matt McCarty,Ryan Fox,,1.952381,1.87,,dead_heat
bovada-2ball-r2:27368731,Min Woo Lee,Nicolai Hojgaard,,1.741,2.15,,dead_heat
bovada-2ball-r2:27368732,Eric Cole,Lucas Glover,,1.5,2.65,,dead_heat
bovada-2ball-r2:27369131,Jake Knapp,Ryan Gerard,,2.3,1.645161,,dead_heat
bovada-2ball-r2:27369132,Ben James,Tony Finau,,1.87,1.952381,,dead_heat
bovada-2ball-r2:27369331,Gary Woodland,Shane Lowry,,1.909091,1.909091,,dead_heat
bovada-2ball-r2:27369133,Patrick Cantlay,Robert MacIntyre,,1.76923,2.1,,dead_heat
bovada-2ball-r2:27369134,Brandt Snedeker,Harry Hall,,2.05,1.8,,dead_heat
bovada-2ball-r2:27369135,Hideki Matsuyama,Nico Echavarria,,1.833333,2.0,,dead_heat
bovada-2ball-r2:27369136,Ben Griffin,Ludvig Aberg,,1.952381,1.87,,dead_heat
bovada-2ball-r2:27369332,Alex Fitzpatrick,Nick Taylor,,1.833333,2.0,,dead_heat
bovada-2ball-r2:27369137,Aaron Rai,Maverick McNealy,,1.833333,2.0,,dead_heat
bovada-2ball-r2:27369138,Cameron Young,Russell Henley,,2.0,1.833333,,dead_heat
bovada-2ball-r2:27369139,Justin Thomas,Matt Fitzpatrick,,2.1,1.76923,,dead_heat
bovada-2ball-r2:27369333,Collin Morikawa,Xander Schauffele,,2.15,1.741,,dead_heat
bovada-2ball-r2:27369334,Brian Harman,Kristoffer Reitan,,1.87,1.952381,,dead_heat
bovada-2ball-r2:27369335,Jhonattan Vegas,Mark Hubbard,,1.909091,1.909091,,dead_heat
