team,group,elo,elo_adj,win_group,reach_R32,reach_R16,reach_QF,reach_SF,reach_final,champion
Argentina,J,2211,0.0,1.0,1.0,0.9316,0.7592,0.5451,0.37,0.2424
Spain,H,2197,0.0,1.0,1.0,0.7963,0.5393,0.404,0.2619,0.1499
France,I,2175,0.0,1.0,1.0,0.8294,0.5805,0.3779,0.2179,0.1139
England,L,2100,0.0,1.0,1.0,0.7912,0.4598,0.2669,0.127,0.0668
Brazil,C,2082,0.0,1.0,1.0,0.6049,0.4289,0.2423,0.1188,0.0642
Colombia,K,2075,0.0,1.0,1.0,0.8614,0.5646,0.2427,0.128,0.0639
Portugal,K,2046,0.0,0.0,1.0,0.6338,0.2739,0.1732,0.0904,0.0403
Mexico,A,2016,0.0,1.0,1.0,0.5932,0.3069,0.1647,0.0712,0.0347
Netherlands,F,2047,0.0,1.0,1.0,0.5021,0.3293,0.1588,0.0743,0.0312
Morocco,C,2022,0.0,0.0,1.0,0.4979,0.3223,0.1542,0.0727,0.0306
Germany,E,1998,-7.4,1.0,1.0,0.657,0.2673,0.1332,0.0568,0.0209
Belgium,G,1951,0.0,1.0,1.0,0.5789,0.341,0.1267,0.0548,0.0202
Japan,F,1993,0.0,0.0,1.0,0.3951,0.2411,0.1121,0.044,0.0192
United States,D,1900,0.0,1.0,1.0,0.8132,0.4071,0.1385,0.0558,0.018
Canada,B,1859,-3.6,0.0,1.0,0.7531,0.3035,0.1174,0.044,0.0139
Switzerland,B,1983,0.0,1.0,1.0,0.5717,0.2461,0.0794,0.0313,0.012
Ecuador,E,1981,0.0,0.0,1.0,0.4068,0.1765,0.0789,0.0281,0.0111
Norway,I,1979,0.0,0.0,1.0,0.5946,0.2136,0.0835,0.0268,0.0097
Croatia,L,1965,0.0,0.0,1.0,0.3662,0.1138,0.0562,0.0217,0.0071
Senegal,I,1894,0.0,0.0,1.0,0.4211,0.2137,0.0655,0.0236,0.0069
Australia,D,1904,0.0,0.0,1.0,0.5651,0.1353,0.0537,0.0189,0.0062
Algeria,J,1879,0.0,0.0,1.0,0.4283,0.1559,0.0418,0.0141,0.0045
Austria,J,1897,0.0,0.0,1.0,0.2037,0.073,0.0316,0.0105,0.0028
Ivory Coast,E,1864,0.0,0.0,1.0,0.4054,0.1164,0.0362,0.0089,0.0027
Paraguay,D,1888,0.0,0.0,1.0,0.343,0.0938,0.0334,0.0096,0.0025
Egypt,G,1852,0.0,0.0,1.0,0.4349,0.0851,0.0289,0.0085,0.0022
Sweden,F,1812,0.0,0.0,1.0,0.1706,0.0584,0.017,0.0041,0.0008
DR Congo,K,1811,0.0,0.0,1.0,0.2088,0.0568,0.0153,0.0031,0.0008
South Africa,A,1711,0.0,0.0,1.0,0.2469,0.0448,0.0081,0.0014,0.0002
Cape Verde,H,1704,0.0,0.0,1.0,0.0684,0.0204,0.0041,0.0006,0.0001
Ghana,L,1693,0.0,0.0,1.0,0.1386,0.0334,0.0043,0.0007,0.0001
Uzbekistan,K,1727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,B,1703,0.0,0.0,1.0,0.1868,0.0382,0.0043,0.0006,0.0
Czech Republic,A,1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,J,1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,A,1836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,H,1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,I,1669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,B,1551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,H,1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,G,1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,G,1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,F,1660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,C,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,E,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,C,1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,D,1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,L,1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
