date,match,bet,odds,p_model,edge,stake,result,pnl,bankroll
2022-11-20,Qatar v Ecuador,away,2.25,0.498,0.063,2.39,won,2.99,102.99
2022-11-21,USA v Wales,home,2.5,0.447,0.053,2.0,lost,-2.0,100.99
2022-11-21,England v Iran,away,11.0,0.265,0.175,4.93,lost,-4.93,96.06
2022-11-22,France v Australia,away,15.0,0.198,0.132,3.37,lost,-3.37,92.69
2022-11-22,Mexico v Poland,home,2.55,0.422,0.038,1.18,lost,-1.18,91.51
2022-11-22,Denmark v Tunisia,away,7.5,0.19,0.058,1.58,lost,-1.58,89.93
2022-11-22,Argentina v Saudi Arabia,away,31.0,0.063,0.031,0.76,won,22.8,112.73
2022-11-23,Belgium v Canada,away,6.0,0.24,0.077,2.49,lost,-2.49,110.24
2022-11-23,Spain v Costa Rica,away,23.0,0.132,0.089,2.62,lost,-2.62,107.62
2022-11-23,Germany v Japan,away,7.5,0.283,0.152,4.85,won,31.52,139.14
2022-11-24,Brazil v Serbia,home,1.48,0.706,0.048,3.28,won,1.57,140.71
2022-11-24,Uruguay v South Korea,away,5.2,0.234,0.047,1.79,lost,-1.79,138.92
2022-11-25,England v USA,away,8.5,0.267,0.151,5.88,lost,-5.88,133.04
2022-11-25,Qatar v Senegal,home,6.25,0.299,0.14,5.73,lost,-5.73,127.31
2022-11-25,Wales v Iran,away,4.0,0.439,0.193,8.73,won,26.19,153.5
2022-11-26,France v Denmark,away,4.8,0.314,0.111,5.14,lost,-5.14,148.36
2022-11-26,Poland v Saudi Arabia,away,6.0,0.253,0.089,3.97,lost,-3.97,144.39
2022-11-26,Tunisia v Australia,away,3.65,0.389,0.121,6.07,won,16.09,160.48
2022-11-27,Spain v Germany,home,2.6,0.461,0.083,4.99,lost,-4.99,155.49
2022-11-27,Croatia v Canada,away,3.65,0.339,0.071,3.62,lost,-3.62,151.87
2022-11-27,Japan v Costa Rica,away,7.75,0.257,0.131,5.91,won,39.89,191.76
2022-11-28,Portugal v Uruguay,away,4.6,0.287,0.075,4.29,lost,-4.29,187.47
2022-11-28,South Korea v Ghana,home,2.75,0.536,0.181,12.99,lost,-12.99,174.48
2022-11-29,Wales v England,home,9.5,0.182,0.079,3.74,lost,-3.74,170.74
2022-11-29,Iran v USA,home,4.25,0.342,0.111,6.08,lost,-6.08,164.66
2022-11-29,Ecuador v Senegal,home,2.5,0.43,0.04,2.15,lost,-2.15,162.51
2022-11-29,Netherlands v Qatar,away,17.0,0.12,0.062,2.82,lost,-2.82,159.69
2022-11-30,Saudi Arabia v Mexico,draw,4.35,0.287,0.064,2.98,lost,-2.98,156.71
2022-11-30,Australia v Denmark,home,8.0,0.225,0.102,4.55,won,31.85,188.56
2022-12-01,Costa Rica v Germany,home,31.0,0.193,0.161,7.84,lost,-7.84,180.72
2022-12-01,Japan v Spain,home,7.5,0.199,0.068,3.55,won,23.08,203.8
2022-12-01,Croatia v Belgium,away,2.55,0.481,0.091,6.86,lost,-6.86,196.94
2022-12-01,Canada v Morocco,home,5.0,0.389,0.193,11.13,lost,-11.13,185.81
2022-12-02,Cameroon v Brazil,away,1.37,0.832,0.104,17.58,lost,-17.58,168.23
2022-12-02,Serbia v Switzerland,away,2.9,0.365,0.031,1.45,won,2.76,170.99
2022-12-02,Ghana v Uruguay,away,1.82,0.661,0.124,11.54,won,9.46,180.45
2022-12-03,Argentina v Australia,away,13.0,0.107,0.031,1.49,lost,-1.49,178.96
2022-12-04,England v Senegal,away,7.0,0.181,0.042,2.01,lost,-2.01,176.95
2022-12-04,France v Poland,away,9.0,0.188,0.079,3.87,lost,-3.87,173.08
2022-12-05,Brazil v South Korea,draw,6.75,0.188,0.042,2.01,lost,-2.01,171.07
2022-12-05,Japan v Croatia,home,4.0,0.345,0.1,5.47,lost,-5.47,165.6
2022-12-09,Netherlands v Argentina,away,2.3,0.495,0.069,4.45,lost,-4.45,161.15
2022-12-10,Morocco v Portugal,home,6.5,0.184,0.034,1.42,won,7.81,168.96
2022-12-13,Argentina v Croatia,home,2.05,0.62,0.139,10.86,won,11.4,180.36
2022-12-14,France v Morocco,away,6.5,0.205,0.054,2.7,lost,-2.7,177.66
2022-12-18,Argentina v France,home,2.7,0.505,0.145,9.53,lost,-9.53,168.13
